chamado_id,data_abertura,canal,categoria,subcategoria,estado,cidade,duracao_minutos,resolvido_primeiro_contato,encaminhado_humano,satisfacao_1_a_5,plano_atual,resumo_atendimento,insatisfeito
CHM-10004,2026-08-21,TELEFONE,COBERTURA,Sinal instável,RJ,Duque de Caxias,12.0,True,False,4.0,Conecta Básico,Cliente relata quedas frequentes de sinal durante o dia.,False
CHM-10259,2026-08-10,APP,PORTABILIDADE,Dúvida sobre prazo de portabilidade,PR,Curitiba,9.0,True,False,4.0,Conecta Básico,Cliente pergunta quanto tempo leva o processo de portabilidade.,False
CHM-10252,,APP,OUTROS,Solicitação de fatura detalhada,BA,Feira de Santana,10.0,True,False,3.0,Conecta Plus,Cliente pede detalhamento de consumo por linha na fatura.,False
CHM-10146,2026-08-12,APP,CANCELAMENTO,Cancelamento de linha,BA,Feira de Santana,34.0,True,False,3.0,Conecta Básico,Cliente solicita encerramento de uma linha do plano família.,False
CHM-10020,2026-07-13,LOJA FISICA,OUTROS,Elogio,MG,Belo Horizonte,26.0,True,False,4.0,Conecta Básico,Cliente elogia atendimento recebido em contato anterior.,False
CHM-10311,2026-08-16,APP,PORTABILIDADE,Dúvida sobre prazo de portabilidade,SP,São Paulo,20.0,True,False,,Conecta Básico,Cliente pergunta quanto tempo leva o processo de portabilidade.,
CHM-10295,2026-07-10,APP,FATURA,Segunda via,RJ,Rio de Janeiro,25.0,True,False,,Conecta Família,Cliente solicita segunda via da fatura por e-mail.,
CHM-10166,2026-07-22,TELEFONE,TECNICO,Aparelho não conecta,RJ,Rio de Janeiro,16.0,True,False,4.0,Conecta Básico,Cliente relata que o aparelho não conecta à rede após configurar novo chip.,False
CHM-10068,2026-06-04,TELEFONE,TECNICO,Chip não funciona,MG,Uberlândia,22.0,True,False,5.0,Conecta Básico,Cliente relata chip novo sem funcionamento após ativação.,False
CHM-10182,2026-06-02,LOJA FISICA,TECNICO,Falha na instalação,RJ,Duque de Caxias,8.0,False,True,3.0,Conecta Básico,Cliente relata problema durante instalação de internet fixa.,False
CHM-10253,2026-07-15,TELEFONE,TECNICO,Erro de configuração de APN,PE,Recife,,False,True,3.0,Conecta Família,Cliente pede ajuda para configurar APN manualmente.,False
CHM-10145,2026-08-23,APP,TECNICO,Erro de configuração de APN,RJ,Rio de Janeiro,17.0,False,True,2.0,Conecta Família,Cliente pede ajuda para configurar APN manualmente.,True
CHM-10118,2026-08-06,APP,FATURA,Contestação de valor,MG,Juiz de Fora,29.0,True,False,5.0,Conecta Básico,Cliente contesta valor acima do esperado e pede revisão.,False
CHM-10266,2026-07-20,TELEFONE,PORTABILIDADE,Portabilidade não concluída,RJ,Duque de Caxias,24.0,True,False,5.0,Conecta Plus,Cliente relata que a portabilidade não foi concluída no prazo informado.,False
CHM-10309,2026-06-05,LOJA FISICA,COBERTURA,Sem sinal,RJ,Duque de Caxias,35.0,False,True,1.0,Conecta Plus,Cliente relata ausência total de sinal na região.,True
CHM-10155,2026-08-09,LOJA FISICA,FATURA,Contestação de valor,SP,Campinas,4.0,True,False,5.0,Conecta Básico,Cliente contesta valor acima do esperado e pede revisão.,False
CHM-10052,2026-07-02,TELEFONE,PLANO,Troca de plano,RS,Porto Alegre,16.0,True,False,3.0,Conecta Plus,Cliente solicita migração para outro plano da ConectaTel.,False
CHM-10271,2026-06-29,LOJA FISICA,OUTROS,Dúvida geral,PE,Olinda,11.0,True,False,5.0,Conecta Plus,Cliente com dúvida geral sobre serviços da ConectaTel.,False
CHM-10150,2026-08-23,APP,PORTABILIDADE,Dúvida sobre prazo de portabilidade,RJ,Duque de Caxias,12.0,False,True,1.0,Conecta Básico,Cliente pergunta quanto tempo leva o processo de portabilidade.,True
CHM-10040,2026-08-11,TELEFONE,TECNICO,Chip não funciona,BA,Feira de Santana,21.0,False,False,2.0,Conecta Plus,Cliente relata chip novo sem funcionamento após ativação.,True
CHM-10121,2026-06-25,CHAT,OUTROS,Solicitação de fatura detalhada,RS,Porto Alegre,22.0,True,False,5.0,Conecta Família,Cliente pede detalhamento de consumo por linha na fatura.,False
CHM-10282,2026-06-26,CHAT,TECNICO,Chip não funciona,PR,Curitiba,29.0,False,True,1.0,Conecta Plus,Cliente relata chip novo sem funcionamento após ativação.,True
CHM-10245,2026-07-12,APP,CANCELAMENTO,Cancelamento por insatisfação,BA,Feira de Santana,25.0,True,False,5.0,Conecta Plus,Cliente pede cancelamento citando insatisfação com o atendimento.,False
CHM-10085,2026-07-20,APP,FATURA,Segunda via,PR,Curitiba,23.0,True,False,5.0,Conecta Plus,Cliente solicita segunda via da fatura por e-mail.,False
CHM-10307,2026-07-17,TELEFONE,OUTROS,Elogio,SP,São Paulo,11.0,True,False,,Conecta Família,Cliente elogia atendimento recebido em contato anterior.,
CHM-10195,2026-08-15,CHAT,COBERTURA,Lentidão na internet,PR,Curitiba,23.0,False,False,,Conecta Básico,Cliente relata velocidade abaixo do contratado.,
CHM-10126,2026-08-07,APP,OUTROS,Solicitação de fatura detalhada,PR,Londrina,17.0,False,True,,Conecta Plus,Cliente pede detalhamento de consumo por linha na fatura.,
CHM-10131,2026-07-10,APP,PLANO,Troca de plano,PE,Olinda,8.0,True,False,,Conecta Plus,Cliente solicita migração para outro plano da ConectaTel.,
CHM-10141,2026-08-02,APP,TECNICO,Chip não funciona,RJ,Niterói,31.0,False,False,2.0,Conecta Básico,Cliente relata chip novo sem funcionamento após ativação.,True
CHM-10016,2026-08-19,CHAT,CANCELAMENTO,Cancelamento de linha,MG,Belo Horizonte,17.0,False,True,1.0,Conecta Básico,Cliente solicita encerramento de uma linha do plano família.,True
CHM-10156,2026-08-08,TELEFONE,FATURA,Segunda via,RS,Caxias do Sul,27.0,True,False,3.0,N/A,Cliente solicita segunda via da fatura por e-mail.,False
CHM-10080,2026-06-25,LOJA FISICA,OUTROS,Sugestão,PE,Recife,10.0,True,False,5.0,Conecta Família,Cliente sugere melhoria no aplicativo da ConectaTel.,False
CHM-10006,2026-08-14,LOJA FISICA,PLANO,Dúvida sobre franquia,RJ,Rio de Janeiro,11.0,True,False,5.0,Conecta Plus,Cliente quer saber quantos GB restam na franquia do mês.,False
CHM-10058,2026-06-05,LOJA FISICA,FATURA,Valor divergente,MG,Uberlândia,25.0,False,True,1.0,Conecta Família,Cliente questiona diferença entre valor contratado e valor cobrado.,True
CHM-10032,2026-07-01,CHAT,PLANO,Cancelamento de complemento,PR,Curitiba,12.0,True,False,3.0,Conecta Básico,Cliente pede remoção de serviço adicional contratado.,False
CHM-10076,2026-08-18,APP,TECNICO,Chip não funciona,SP,São Paulo,23.0,True,False,,Conecta Plus,Cliente relata chip novo sem funcionamento após ativação.,
